ID	PCG	non-coding	rRNA	tRNA
m_cheek	40	5	5	0
m_cheek	35	9	4	0
m_cheek	39	4	4	0
m_cheek	47	10	7	0
m_cheek	18	17	3	0
m_cheek	43	7	7	0
m_cheek	53	11	6	0
m_cheek	30	7	3	0
m_cheek	43	10	3	0
m_cheek	32	13	3	1
m_cheek	24	7	5	0
m_cheek	16	20	7	0
m_cheek	37	11	6	1
m_cheek	18	15	3	0
m_cheek	19	14	2	0
m_cheek	20	6	3	0
m_cheek	19	8	4	0
m_cheek	28	6	5	0
m_cheek	14	5	2	0
m_cheek	21	7	4	0
m_cheek	22	12	1	0
m_cheek	14	15	4	0
m_cheek	23	7	3	0
m_cheek	30	11	3	0
m_cheek	34	10	4	0
m_cheek	39	18	6	0
m_cheek	41	19	5	0
m_cheek	40	10	6	0
m_cheek	80	18	8	0
m_cheek	77	18	7	0
m_cheek	19	8	2	1
m_cheek	49	16	7	3
m_cheek	38	15	4	0
m_cheek	11	9	1	0
m_cheek	54	15	8	1
m_cheek	40	11	5	0
